url,path,language,content_group,decision,proposed_destination,validation_condition,production_change_authorized
"https://seoparaecommerce.co/","/","es","home","keep_and_rebuild","/","preserve_current_url_when_equivalent","false"
"https://seoparaecommerce.co/en","/en","en","home","language_scope_review","","english_requires_selective_equivalent","false"
"https://seoparaecommerce.co/pt","/pt","pt","home","language_scope_review","","portuguese_not_in_target_architecture","false"
"https://seoparaecommerce.co/soluciones","/soluciones","es","page","keep_and_rebuild","/soluciones","preserve_current_url_when_equivalent","false"
"https://seoparaecommerce.co/en/solutions","/en/solutions","en","page","language_scope_review","","english_requires_selective_equivalent","false"
"https://seoparaecommerce.co/pt/solucoes","/pt/solucoes","pt","page","language_scope_review","","portuguese_not_in_target_architecture","false"
"https://seoparaecommerce.co/soluciones/diagnostico-empresarial","/soluciones/diagnostico-empresarial","es","page","manual_seo_review","","needs_search_console_analytics_backlinks_and_conversion_data","false"
"https://seoparaecommerce.co/en/solutions/business-diagnosis","/en/solutions/business-diagnosis","en","page","language_scope_review","","english_requires_selective_equivalent","false"
"https://seoparaecommerce.co/pt/solucoes/diagnostico-empresarial","/pt/solucoes/diagnostico-empresarial","pt","page","language_scope_review","","portuguese_not_in_target_architecture","false"
"https://seoparaecommerce.co/metodo-ferova","/metodo-ferova","es","page","keep_and_rebuild","/metodo-ferova","preserve_current_url_when_equivalent","false"
"https://seoparaecommerce.co/en/ferova-method","/en/ferova-method","en","page","language_scope_review","","english_requires_selective_equivalent","false"
"https://seoparaecommerce.co/pt/metodo-ferova","/pt/metodo-ferova","pt","page","language_scope_review","","portuguese_not_in_target_architecture","false"
"https://seoparaecommerce.co/servicios","/servicios","es","service","manual_seo_review","","needs_search_console_analytics_backlinks_and_conversion_data","false"
"https://seoparaecommerce.co/en/services","/en/services","en","service","language_scope_review","","english_requires_selective_equivalent","false"
"https://seoparaecommerce.co/pt/servicos","/pt/servicos","pt","service","language_scope_review","","portuguese_not_in_target_architecture","false"
"https://seoparaecommerce.co/productos","/productos","es","product","move_to_ferova","https://ferova.com.co/productos","receiver_must_exist_and_match_intent","false"
"https://seoparaecommerce.co/en/products","/en/products","en","product","move_to_ferova","https://ferova.com.co/productos","receiver_must_exist_and_match_intent","false"
"https://seoparaecommerce.co/pt/produtos","/pt/produtos","pt","product","move_to_ferova","https://ferova.com.co/productos","receiver_must_exist_and_match_intent","false"
"https://seoparaecommerce.co/precios","/precios","es","page","keep_and_rebuild","/precios","preserve_current_url_when_equivalent","false"
"https://seoparaecommerce.co/en/pricing","/en/pricing","en","page","language_scope_review","","english_requires_selective_equivalent","false"
"https://seoparaecommerce.co/pt/precos","/pt/precos","pt","page","language_scope_review","","portuguese_not_in_target_architecture","false"
"https://seoparaecommerce.co/casos-de-exito","/casos-de-exito","es","case_study","keep_and_rebuild","/casos-de-exito","preserve_current_url_when_equivalent","false"
"https://seoparaecommerce.co/en/case-studies","/en/case-studies","en","case_study","language_scope_review","","english_requires_selective_equivalent","false"
"https://seoparaecommerce.co/pt/casos-de-sucesso","/pt/casos-de-sucesso","pt","case_study","language_scope_review","","portuguese_not_in_target_architecture","false"
"https://seoparaecommerce.co/contacto","/contacto","es","page","keep_and_rebuild","/contacto","preserve_current_url_when_equivalent","false"
"https://seoparaecommerce.co/en/contact","/en/contact","en","page","language_scope_review","","english_requires_selective_equivalent","false"
"https://seoparaecommerce.co/pt/contato","/pt/contato","pt","page","language_scope_review","","portuguese_not_in_target_architecture","false"
"https://seoparaecommerce.co/blog","/blog","es","blog","keep_and_rebuild","/blog","preserve_current_url_when_equivalent","false"
"https://seoparaecommerce.co/en/blog","/en/blog","en","blog","language_scope_review","","english_requires_selective_equivalent","false"
"https://seoparaecommerce.co/pt/blog","/pt/blog","pt","blog","language_scope_review","","portuguese_not_in_target_architecture","false"
"https://seoparaecommerce.co/recursos","/recursos","es","resource","keep_and_rebuild","/recursos","preserve_current_url_when_equivalent","false"
